Symbol,Name,Country,IPO Year,Volume,Sector,Industry
INTU,Intuit Inc. Common Stock,United States,1993,1357283,Technology,Computer Software: Prepackaged Software
INTZ,Intrusion Inc. Common Stock,United States,,406995,Telecommunications,Computer Communications Equipment
INV,Innventure Inc. Common Stock,United States,,64874,Finance,Blank Checks
INVA,Innoviva Inc. Common Stock,United States,2004,1053068,Health Care,Biotechnology: Pharmaceutical Preparations
INVE,Identiv Inc. Common Stock,United States,,28720,Technology,Computer peripheral equipment
INVZ,Innoviz Technologies Ltd. Ordinary shares,Israel,,1923364,Consumer Discretionary,Auto Parts:O.E.M.
INVZW,Innoviz Technologies Ltd. Warrant,Israel,,13634,Consumer Discretionary,Auto Parts:O.E.M.
INZY,Inozyme Pharma Inc. Common Stock,United States,2020,183969,Health Care,Biotechnology: Pharmaceutical Preparations
IOBT,IO Biotech Inc. Common Stock,Denmark,2021,50182,Health Care,Biotechnology: Pharmaceutical Preparations
IONR,ioneer Ltd American Depositary Shares,Australia,,4090,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
IONS,Ionis Pharmaceuticals Inc. Common Stock,United States,,1652714,Health Care,Biotechnology: Pharmaceutical Preparations
IOSP,Innospec Inc. Common Stock,United States,,135395,Industrials,Major Chemicals
IOTR,iOThree Limited Ordinary Shares,Singapore,2025,318199,Consumer Discretionary,Telecommunications Equipment
IOVA,Iovance Biotherapeutics Inc. Common Stock,United States,,6496602,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IPA,ImmunoPrecise Antibodies Ltd. Common Stock,Canada,,563900,Health Care,Biotechnology: Pharmaceutical Preparations
IPAR,Interparfums Inc. Common Stock,United States,,420476,Consumer Discretionary,Package Goods/Cosmetics
IPCXU,Inflection Point Acquisition Corp. III Units,United States,2025,316042,Finance,Blank Checks
IPDN,Professional Diversity Network Inc. Common Stock,United States,2013,86549,Technology,Computer Software: Programming Data Processing
IPGP,IPG Photonics Corporation Common Stock,United States,2006,321787,Technology,Semiconductors
IPHA,Innate Pharma S.A. ADS,France,2019,35161,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IPM,Intelligent Protection Management Corp. Common Stock ,United States,,47253,Consumer Discretionary,Business Services
IPSC,Century Therapeutics Inc. Common Stock,United States,2021,744939,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IPW,iPower Inc. Common Stock,United States,2021,35203,Consumer Discretionary,RETAIL: Building Materials
IPWR,Ideal Power Inc. Common Stock,United States,2013,4640,Technology,Semiconductors
IPX,IperionX Limited American Depositary Share,United States,,52901,Basic Materials,Other Metals and Minerals
IQ,iQIYI Inc. American Depositary Shares,China,2018,19283411,Consumer Discretionary,Consumer Electronics/Video Chains
IRBT,iRobot Corporation Common Stock,United States,2005,950384,Consumer Discretionary,Consumer Electronics/Appliances
IRD,Opus Genetics Inc. Common Stock,United States,,27503,Health Care,Biotechnology: Pharmaceutical Preparations
IRDM,Iridium Communications Inc Common Stock,United States,,1951289,Telecommunications,Telecommunications Equipment
IREN,IREN Limited Ordinary Shares,Australia,2021,10517128,Technology,EDP Services
IRIX,IRIDEX Corporation Common Stock,United States,1996,90172,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
IRMD,iRadimed Corporation Common Stock,United States,2014,24675,Health Care,Medical/Dental Instruments
IROH,Iron Horse Acquisitions Corp. Common Stock,United States,2024,9069,,
IROHR,Iron Horse Acquisitions Corp. Right,United States,2024,11240,,
IROHW,Iron Horse Acquisitions Corp. Warrant,United States,2024,41391,,
IRON,Disc Medicine Inc. Common Stock,United States,,302472,Health Care,Biotechnology: Pharmaceutical Preparations
IROQ,IF Bancorp Inc. Common Stock,United States,2011,1494,Finance,Savings Institutions
IRTC,iRhythm Technologies Inc. Common Stock,United States,2016,331907,Health Care,Medical/Dental Instruments
IRWD,Ironwood Pharmaceuticals Inc. Class A Common Stock,United States,2010,2802462,Health Care,Biotechnology: Pharmaceutical Preparations
ISPC,iSpecimen Inc. Common Stock,United States,2021,9108,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ISPO,Inspirato Incorporated Class A Common Stock,United States,2021,11294,Finance,Blank Checks
ISPOW,Inspirato Incorporated Warrant,United States,2021,100,Finance,Blank Checks
ISPR,Ispire Technology Inc. Common Stock,United States,2023,39817,Health Care, Medicinal Chemicals and Botanical Products 
ISRG,Intuitive Surgical Inc. Common Stock,United States,2000,1388123,Health Care,Industrial Specialties
ISRL,Israel Acquisitions Corp Class A Ordinary Shares,United States,2023,214387,Finance,Blank Checks
ISRLU,Israel Acquisitions Corp Unit,United States,2023,2300,Finance,Blank Checks
ISRLW,Israel Acquisitions Corp Warrant,United States,2023,462068,Finance,Blank Checks
ISSC,Innovative Solutions and Support Inc. Common Stock,United States,2000,43473,Technology,EDP Services
ISTR,Investar Holding Corporation Common Stock,United States,2014,25363,Finance,Major Banks
ITIC,Investors Title Company Common Stock,United States,,10360,Finance,Specialty Insurers
ITOS,iTeos Therapeutics Inc. Common Stock,United States,2020,419801,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ITRI,Itron Inc. Common Stock,United States,1993,489880,Industrials,Electrical Products
