<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AQST,D,20230727,1.71,1.78,1.685,1.7,406500
AQU,D,20230727,10.45,10.45,10.45,10.45,300
AQWA,D,20230727,15.96,15.99,15.7752,15.7752,2200
ARAV,D,20230727,1.41,1.4299,1.33,1.34,317300
ARAY,D,20230727,3.98,4.0692,3.9799,4.03,468600
ARBB,D,20230727,2.47,2.48,2.34,2.35,84400
ARBE,D,20230727,2.94,2.94,2.8,2.83,33400
ARBEW,D,20230727,0.2183,0.2871,0.2183,0.2871,600
ARBG,D,20230727,10.25,10.25,10.25,10.25,1300
ARBGW,D,20230727,0.001,0.0099,0.001,0.0011,22100
ARBK,D,20230727,1.52,1.54,1.42,1.42,316200
ARBKL,D,20230727,6.99,7.14,6.98,7.14,8100
ARCB,D,20230727,119.67,122.86,117.5,118.83,957800
ARCC,D,20230727,19.85,19.88,19.69,19.75,4556100
ARCE,D,20230727,12.75,12.89,12.695,12.76,133000
ARCT,D,20230727,34.92,34.92,33.1145,33.51,338200
ARDX,D,20230727,3.54,3.635,3.5,3.6,2962700
AREB,D,20230727,1.63,1.68,1.47,1.49,413200
AREBW,D,20230727,0.015,0.024,0.011,0.0239,20400
AREC,D,20230727,1.85,1.886,1.7999,1.81,148900
ARGX,D,20230727,522.01,522.01,503.325,509.05,529400
ARHS,D,20230727,11.53,11.55,10.91,11.02,639400
ARKO,D,20230727,8.22,8.23,8.0717,8.15,149800
ARLP,D,20230727,18.97,19.1,18.85,18.86,742800
AROW,D,20230727,20.75,21.12,20.06,20.2,36200
ARQQ,D,20230727,1.21,1.2488,1.16,1.16,831700
ARQQW,D,20230727,0.34,0.3599,0.2957,0.3599,15000
ARQT,D,20230727,10.48,10.68,9.96,10,788500
ARRW,D,20230727,10.49,10.49,10.47,10.48,112900
ARRWW,D,20230727,0.21,0.21,0.21,0.21,40500
ARRY,D,20230727,19.35,20.02,18.66,18.92,6127800
ARTE,D,20230727,10.64,10.64,10.635,10.64,15500
ARTL,D,20230727,2,2,1.88,1.97,9600
ARTNA,D,20230727,47.6,47.665,45.7,45.93,71100
ARTW,D,20230727,2.675,2.69,2.62,2.6215,11400
ARVL,D,20230727,1.97,2.25,1.96,1.96,1264800
ARVN,D,20230727,22.47,22.47,21.68,21.92,322200
ARVR,D,20230727,32.3506,32.3506,32.3506,32.3506,100
ARWR,D,20230727,35.34,36.27,35.205,35.83,1337300
ARYD,D,20230727,10.65,10.65,10.65,10.65,3100
ASCB,D,20230727,10.49,10.58,10.48,10.58,35900
ASCBR,D,20230727,0.0801,0.0819,0.08,0.0801,1600
ASCBW,D,20230727,0.0245,0.0275,0.0245,0.0275,8700
ASET,D,20230727,30.81,30.825,30.5981,30.5981,1000
ASLE,D,20230727,15.25,15.37,14.57,14.66,507900
ASLN,D,20230727,2.51,2.51,2.4,2.44,16600
ASMB,D,20230727,1.08,1.15,1,1.1,152400
ASML,D,20230727,714.94,720.42,703.57,708.12,1488700
ASND,D,20230727,86.81,87.94,85.76,87.55,281400
ASNS,D,20230727,2.37,2.5199,2.04,2.16,35300
ASO,D,20230727,58.16,58.99,56.99,57.37,1477600
ASPA,D,20230727,11,11.1,10.9992,11.1,34600
ASPAU,D,20230727,10.92,10.92,10.92,10.92,100
ASPAW,D,20230727,0.0301,0.0362,0.0301,0.0301,1800
ASPI,D,20230727,0.9,0.93,0.8295,0.9,393700
ASPS,D,20230727,5.53,5.53,4.8701,5.02,458100
ASRT,D,20230727,5.54,5.55,5.34,5.34,851600
ASRV,D,20230727,3.31,3.4,3.25,3.33,30900
ASST,D,20230727,1.13,1.19,1.08,1.09,28100
ASTC,D,20230727,12.64,12.64,12.1601,12.305,2600
ASTE,D,20230727,47.63,47.9331,46.98,47.62,42600
ASTI,D,20230727,0.08,0.089,0.077,0.088,1593400
ASTL,D,20230727,7.3,7.3,7.15,7.16,230300
ASTLW,D,20230727,1.15,1.17,1.1,1.1,11900
ASTR,D,20230727,0.4205,0.4238,0.392,0.3945,894800
ASTS,D,20230727,3.99,4.06,3.88,3.92,1695800
ASTSW,D,20230727,1.14,1.25,1.13,1.13,12600
ASUR,D,20230727,13.13,13.43,13.13,13.4,115900
ASYS,D,20230727,11,11.98,10.405,10.77,16900
ATAI,D,20230727,2.08,2.125,2.03,2.04,933500
ATAK,D,20230727,10.75,10.77,10.75,10.77,7800
ATAKR,D,20230727,0.14,0.1415,0.121,0.1211,23000
ATAT,D,20230727,19.92,19.97,19.06,19.09,243000
ATCOL,D,20230727,23.68,23.78,23.68,23.68,700
ATEC,D,20230727,17.49,17.6,17.12,17.17,548700
ATER,D,20230727,0.615,0.6388,0.48,0.4841,5142000
ATEX,D,20230727,29.07,29.41,28.09,28.09,209500
ATHA,D,20230727,2.78,2.79,2.68,2.75,156600
ATHE,D,20230727,2.85,2.85,2.75,2.84,6100
ATHX,D,20230727,0.71,0.7191,0.67,0.6967,124300
ATLC,D,20230727,40.21,40.21,39.54,39.58,19000
ATLCL,D,20230727,22.61,22.7957,22.57,22.73,2200
ATLCP,D,20230727,21.74,21.8872,21.35,21.3966,5200
ATLO,D,20230727,20,20.05,19.53,19.58,25100
ATLX,D,20230727,21.25,21.8344,20.5154,20.64,48100
